A0A7G1IGH0	A0A7G1IGH0
A0A0U3P7B8	A0A2K8SEI9
A0A0U3P7B8	A0A2N2CBK3
A0A0U3P7B8	A0A2N2E4U4
A0A0U3P7B8	A0A2S0NJ39
A0A0U3P7B8	A0A2S5RDQ4
A0A0U3P7B8	A0A2S8NQ20
A0A0U3P7B8	A0A380LT94
A0A0U3P7B8	A0A395W9U9
A0A0U3P7B8	A0A3C1U7J8
A0A0U3P7B8	A0A3E3EGH4
A0A0U3P7B8	A0A412G5Y9
A0A0U3P7B8	A0A412I646
A0A0U3P7B8	A0A415PJ04
A0A0U3P7B8	A0A4S2FCB0
A0A0U3P7B8	A0A6G7Y0A2
A0A0U3P7B8	A0A6G7ZAQ2
A0A0U3P7B8	A0A6N7S933
A0A0U3P7B8	A0A6N7UZA0
A0A0U3P7B8	A0A7G9GJP4
A0A0U3P7B8	A0A7W8D324
A0A0U3P7B8	A0A7X2T380
A0A0U3P7B8	A0A7X6XX05
A0A0U3P7B8	A0A7X7ADE3
A0A0U3P7B8	A0A973JU70
A0A0U3P7B8	A0A9D1HPR2
A0A0U3P7B8	A0A9D2BNN0
A0A0U3P7B8	A0A9E6K0G2
A0A0U3P7B8	A0A9Q2WWN1
A0A0U3P7B8	A0AAN3UGS2
A0A0U3P7B8	A8RCN7
A0A0U3P7B8	B0N2H0
A0A0U3P7B8	B7C7L2
A0A0U3P7B8	B9Y7H2
A0A0U3P7B8	Q6XZ03
A0A0U3P7B8	R4HJ71
A0A0U3P7B8	R7A6Z9
A0A0U3P7B8	R9LPF2
A0A0U3P7B8	S5M0F2
A0A0U3P7B8	S5M0G0
A0A0U3P7B8	A0AAU9VJW4
A0A0U3P7B8	A0AAV5B8X8
A0A0U3P7B8	A0AAX3SWF6
A0A0U3P7B8	A0A6L8AG59
A0A0U3P7B8	A0A6L7TEA8
A0A0U3P7B8	A0A6L7VTM3
A0A0U3P7B8	A0A8T6EH65
A0A0U3P7B8	A0A6L7LVG2
A0A0U3P7B8	A0A6N9AZG0
A0A0U3P7B8	W6AAH1
A0A0U3P7B8	A0A345Z3W5
A0A0U3P7B8	A0A1F8NC23
A0A0U3P7B8	A0A1F8MUV2
A0A0U3P7B8	A0A9D1Q3R4
A0A0U3P7B8	A0A1Q6RM81
A0A0U3P7B8	A0A7X9Q8Q9
A0A0U3P7B8	A0A927RGJ7
A0A0U3P7B8	A0A0P6XXS0
A0A0U3P7B8	A0A2U2SLI3
A0A0U3P7B8	A0A3N5GDT1
A0A0U3P7B8	A0A9D1SW56
A0A0U3P7B8	A0A9D1HSR2
A0A0U3P7B8	A0A858U6N6
A0A0U3P7B8	A0A939ZSF9
A0A0U3P7B8	A0A846TWD9
A0A1F9Q9J4	A0A1F9Q9J4
A0A1F9Q9J4	A0A1F9TR34
A0A1F9Q9J4	A0A2N2EQ92
A0A1F9Q9J4	A0A3C1JCK9
A0A1F9Q9J4	A0A3D1A8U3
A0A1F9Q9J4	A0A1F9QVC5
A0A1F9Q9J4	A0A1F9RF34
A0A1F9Q9J4	A0A1F9SLE0
A0A1F9Q9J4	A0A349P954
A0A1F9Q9J4	A0A948QB88
A0A1F9Q9J4	A0A7V3VV88
A0A1F9Q9J4	A0A7C5MQ38
A0A1F9Q9J4	A0AAX3BCH9
A0A1F9Q9J4	A0A948S8D4
A0A1F9Q9J4	A0A2E5LWA5
A0A1F9Q9J4	A0A177PVN5
A0A1F9Q9J4	A0A2A9HGE7
A0A1F9Q9J4	A0A2H5ZD52
A0A1F9Q9J4	A0A315X5V6
A0A1F9Q9J4	A0A3A0FJK7
A0A1F9Q9J4	A0A6I4ZCT4
A0A1F9Q9J4	A0A6I4ZVD9
A0A1F9Q9J4	A0A6L3AEH0
A0A1F9Q9J4	A0A6L8HTN9
A0A1F9Q9J4	A0A7C2WA07
A0A1F9Q9J4	A0A7X3V9U4
A0A1F9Q9J4	A0A928TEX2
A0A1F9Q9J4	A0A956UNM7
A0A1F9Q9J4	A0A9D5ED16
A0A1F9Q9J4	A0A2M6Y6J4
A0A1F9Q9J4	A0A1F9WBM2
A0A1F9Q9J4	A0A351UMG3
A0A1F9Q9J4	A0A352D7N6
A0A1F9Q9J4	A0A1F9QHI9
A0A1F9Q9J4	A0A7V8DBS8
A0A1F9Q9J4	A0A955TVX4
A0A1F9Q9J4	A0A3M2ASW5
A0A1F9Q9J4	A0A7W1UHD7
A0A1F9Q9J4	A0A356R4A8
A0A1F9Q9J4	A0A3D2PEU3
A0A1F9Q9J4	A0A3M2CWM8
A0A1F9Q9J4	A0A6N9E0A3
A0A1F9Q9J4	A0A7X3PYE1
A0A1F9Q9J4	A0A7X3S455
A0A1F9Q9J4	A0A7X3Y0C9
A0A1F9Q9J4	A0A7X3YVG1
A0A1F9Q9J4	A0A7X4BK12
A0A1F9Q9J4	A0A7X4D7L6
A0A1F9Q9J4	A0A955TMC0
A0A1F9Q9J4	A0A955UDH9
A0A1F9Q9J4	A0AA96GC94
A0A1F9Q9J4	A0AA96JVM9
A0A1F9Q9J4	A0A2E1W8D8
A0A1F9Q9J4	A0A2E5DGR4
A0A1F9Q9J4	A0A7X8LRY6
A0A1F9Q9J4	A0A933J9B7
A0A1F9Q9J4	A0A1F9XUF1
A0A1F9Q9J4	A0A3B9ZYT3
A0A1F9Q9J4	A0A3D1N555
A0A1F9Q9J4	A0A933M299
A0A1F9Q9J4	A0A354MS12
A0A1F9Q9J4	A0A3D2HYL9
A0A1F9Q9J4	A0A928MFR1
A0A1F9Q9J4	A0A928QK66
A0A1F9Q9J4	A0A928QPL5
A0A1F9Q9J4	A0A9D0Z276
A0A1F9Q9J4	A0A9D5TDI3
A0A1F9Q9J4	R5EU40
A0A1F9Q9J4	R6H5Y3
A0A1F9Q9J4	A0A845LNX7
A0A1H9IZK3	A0A1H9IZK3
A0A1I0YRZ5	A0A1I0YRZ5
A0A1I0YRZ5	A0A927UAX7
A0A1I0YRZ5	A0A143XEU4
A0A1I0YRZ5	A0A143XYM3
A0A1I0YRZ5	A0A174IHN9
A0A1I0YRZ5	A0A1C5PGQ1
A0A1I0YRZ5	A0A1C5TKF1
A0A1I0YRZ5	A0A1C6EF27
A0A1I0YRZ5	A0A1I0B3Y9
A0A1I0YRZ5	A0A1I6JK19
A0A1I0YRZ5	A0A1M6NHK6
A0A1I0YRZ5	A0A1Q6NLI5
A0A1I0YRZ5	A0A1T4NWE5
A0A1I0YRZ5	A0A1Y4AYT3
A0A1I0YRZ5	A0A1Y4V4B5
A0A1I0YRZ5	A0A239R3R3
A0A1I0YRZ5	A0A285PQ56
A0A1I0YRZ5	A0A352CSW5
A0A1I0YRZ5	A0A352WH14
A0A1I0YRZ5	A0A354I4V3
A0A1I0YRZ5	A0A373TM58
A0A1I0YRZ5	A0A374AGJ4
A0A1I0YRZ5	A0A374K5I1
A0A1I0YRZ5	A0A3A6JPL2
A0A1I0YRZ5	A0A3A8ZC37
A0A1I0YRZ5	A0A3C0NZ57
A0A1I0YRZ5	A0A3D0LGK6
A0A1I0YRZ5	A0A3D2KGD0
A0A1I0YRZ5	A0A3R6JXV8
A0A1I0YRZ5	A0A3R6LDQ2
A0A1I0YRZ5	A0A3R6NAN5
A0A1I0YRZ5	A0A3R6PFU0
A0A1I0YRZ5	A0A3R6SAW8
A0A1I0YRZ5	A0A3R6T017
A0A1I0YRZ5	A0A3R6WGE1
A0A1I0YRZ5	A0A412IVK0
A0A1I0YRZ5	A0A416ZVX5
A0A1I0YRZ5	A0A4V1EGH3
A0A1I0YRZ5	A0A6L5XW24
A0A1I0YRZ5	A0A6N2RID9
A0A1I0YRZ5	A0A6N7YDJ5
A0A1I0YRZ5	A0A6P1TNZ1
A0A1I0YRZ5	A0A7G9FK00
A0A1I0YRZ5	A0A7W8M516
A0A1I0YRZ5	A0A7X2TNA4
A0A1I0YRZ5	A0A7X4I9X8
A0A1I0YRZ5	A0A8I0AIW5
A0A1I0YRZ5	A0A939YH06
A0A1I0YRZ5	A0A943XFG4
A0A1I0YRZ5	A0A9D1ACJ5
A0A1I0YRZ5	A0A9D1EGC1
A0A1I0YRZ5	A0A9D2BEB4
A0A1I0YRZ5	A0A9D2J8Z6
A0A1I0YRZ5	A0AAI9NYM2
A0A1I0YRZ5	A7VIV0
A0A1I0YRZ5	B0M8Y3
A0A1I0YRZ5	C0EY84
A0A1I0YRZ5	R6MVN0
A0A1I0YRZ5	A0A0D0S7E3
A0A1I0YRZ5	A0A1H9G7Y4
A0A1I0YRZ5	A0A1Q9K417
A0A1I0YRZ5	A0A3R6XHR6
A0A1I0YRZ5	A0A4R2LEN2
A0A1I0YRZ5	A0A6S6R7P1
A0A1I0YRZ5	A0A927V716
A0A1I0YRZ5	A0A927VBR2
A0A1I0YRZ5	A0A965YLB0
A0A1I0YRZ5	A0A9D1KVY5
A0A1I0YRZ5	A0A9D5RSZ4
A0A1I0YRZ5	A0AAE3V8X0
A0A1I0YRZ5	A0A3C0THH5
A0A1I0YRZ5	A0A3D3J4U6
A0A1I0YRZ5	A0A0K9NF75
A0A1I0YRZ5	A0A173Y1R2
A0A1I0YRZ5	A0A174G5W1
A0A1I0YRZ5	A0A174J0U9
A0A1I0YRZ5	A0A174KBW0
A0A1I0YRZ5	A0A174M2E0
A0A1I0YRZ5	A0A1C5ME99
A0A1I0YRZ5	A0A1C5NTN5
A0A1I0YRZ5	A0A1C5SKV0
A0A1I0YRZ5	A0A1C5SNY6
A0A1I0YRZ5	A0A1C5YC32
A0A1I0YRZ5	A0A1C6J7V8
A0A1I0YRZ5	A0A1M6IL26
A0A1I0YRZ5	A0A1Q6PZU5
A0A1I0YRZ5	A0A1Y3WGP0
A0A1I0YRZ5	A0A1Y4L1P4
A0A1I0YRZ5	A0A1Y4U3G9
A0A1I0YRZ5	A0A1Z7M2X6
A0A1I0YRZ5	A0A372UHB9
A0A1I0YRZ5	A0A391P8S0
A0A1I0YRZ5	A0A395Y9V3
A0A1I0YRZ5	A0A396L5A2
A0A1I0YRZ5	A0A3B9WVT5
A0A1I0YRZ5	A0A3D5WGY8
A0A1I0YRZ5	A0A3E3K187
A0A1I0YRZ5	A0A3E4F7L9
A0A1I0YRZ5	A0A3E4MM94
A0A1I0YRZ5	A0A3E5GE16
A0A1I0YRZ5	A0A3R5X3C4
A0A1I0YRZ5	A0A414QFG2
A0A1I0YRZ5	A0A417QH19
A0A1I0YRZ5	A0A4R3JVC0
A0A1I0YRZ5	A0A4R4FIP1
A0A1I0YRZ5	A0A4S2HJS8
A0A1I0YRZ5	A0A6N7IXR7
A0A1I0YRZ5	A0A6N7V304
A0A1I0YRZ5	A0A7U9RZG5
A0A1I0YRZ5	A0A7U9S5J9
A0A1I0YRZ5	A0A7X5C7A5
A0A1I0YRZ5	A0A844FAC3
A0A1I0YRZ5	A0A845KTW8
A0A1I0YRZ5	A0A848CN79
A0A1I0YRZ5	A0A850HCA2
A0A1I0YRZ5	A0A8T4JQ14
A0A1I0YRZ5	A0A921LFA7
A0A1I0YRZ5	A0A923RT06
A0A1I0YRZ5	A0A927T7X0
A0A1I0YRZ5	A0A929UM97
A0A1I0YRZ5	A0A929VD21
A0A1I0YRZ5	A0A929Y140
A0A1I0YRZ5	A0A938XEY0
A0A1I0YRZ5	A0A940CBV2
A0A1I0YRZ5	A0A943GKA6
A0A1I0YRZ5	A0A9D1UDW9
A0A1I0YRZ5	A0A9D3AI39
A0A1I0YRZ5	A0A9E0Z4N7
A0A1I0YRZ5	A0A9W6C7W8
A0A1I0YRZ5	A0A9W6CAK5
A0A1I0YRZ5	A0AA96T9V9
A0A1I0YRZ5	A6BI10
A0A1I0YRZ5	B0G3P8
A0A1I0YRZ5	E9RW98
A0A1I0YRZ5	F3AM65
A0A1I0YRZ5	F3B838
A0A1I0YRZ5	F7KQZ4
A0A1I0YRZ5	R5NG43
A0A1I0YRZ5	R6WDK6
A0A1I0YRZ5	R7QYI6
A0A1I0YRZ5	R9IQ86
A0A1I0YRZ5	R9KRH0
A0A1I0YRZ5	R9MLI7
A0A1I0YRZ5	S0IZW5
A0A1I0YRZ5	A0A1C6EQ94
A0A1I0YRZ5	A0A349ZRL9
A0A1I0YRZ5	A0A354D4D5
A0A1I0YRZ5	A0A3B9MWZ3
A0A1I0YRZ5	A0A3D1YB61
A0A1I0YRZ5	A0A7U9SDL9
A0A1I0YRZ5	A0A7U9SJR9
A0A1I0YRZ5	A0A7U9STX7
A0A1I0YRZ5	A0A7X3MIE7
A0A1I0YRZ5	A0A929T2S3
A0A1I0YRZ5	A0A929UDU8
A0A1I0YRZ5	A0A938XGJ9
A0A1I0YRZ5	A0A949NGC9
A0A1I0YRZ5	A0AAE3JEZ9
A0A1I0YRZ5	B0NCE1
A0A1I0YRZ5	N2BD49
A0A1I0YRZ5	R7N7N5
A0A1I0YRZ5	R5CG65
A0A1I0YRZ5	A0A1C6B9F4
A0A1I0YRZ5	A0A1G5BRB0
A0A1I0YRZ5	A0A1G6CNJ5
A0A1I0YRZ5	A0A1H7VJD1
A0A1I0YRZ5	A0A1H8ZJC4
A0A1I0YRZ5	A0A1H9MPG7
A0A1I0YRZ5	A0A1I1M758
A0A1I0YRZ5	A0A1I4A849
A0A1I0YRZ5	A0A1M5TTR4
A0A1I0YRZ5	A0A1T5D5R2
A0A1I0YRZ5	A0A316Q0C8
A0A1I0YRZ5	A0A317G0S9
A0A1I0YRZ5	A0A3A9AF58
A0A1I0YRZ5	A0A3A9SR34
A0A1I0YRZ5	A0A416CNI4
A0A1I0YRZ5	A0A417E9G7
A0A1I0YRZ5	A0A417LEU2
A0A1I0YRZ5	A0A7U9N648
A0A1I0YRZ5	A0A7U9R0L9
A0A1I0YRZ5	A0A7U9RJR4
A0A1I0YRZ5	A0A7U9WY34
A0A1I0YRZ5	A0A7X5L225
A0A1I0YRZ5	A0A9D2QJ23
A0A1I0YRZ5	A0A9D2QXT5
A0A1I0YRZ5	A0A9D8S226
A0A1I0YRZ5	A0AAE3AW38
A0A1I0YRZ5	R9JL42
A0A1I0YRZ5	R9L8M4
A0A1I0YRZ5	A0A1C5QY13
A0A1I0YRZ5	A0A1D9P2L8
A0A1I0YRZ5	A0A1G5I892
A0A1I0YRZ5	A0A1G5XZ05
A0A1I0YRZ5	A0A1G9GQ17
A0A1I0YRZ5	A0A1H5WHY9
A0A1I0YRZ5	A0A1I5R634
A0A1I0YRZ5	A0A1I7J3V4
A0A1I0YRZ5	A0A1I7KNG3
A0A1I0YRZ5	A0A1M6G2L3
A0A1I0YRZ5	A0A1M7S9U5
A0A1I0YRZ5	A0A1Q6RPA1
A0A1I0YRZ5	A0A2K4ZN66
A0A1I0YRZ5	A0A3A9FB47
A0A1I0YRZ5	A0A3A9SAN4
A0A1I0YRZ5	A0A3A9SZA5
A0A1I0YRZ5	A0A3B8TZU1
A0A1I0YRZ5	A0A3D5TC58
A0A1I0YRZ5	A0A417U8S7
A0A1I0YRZ5	A0A927TCV0
A0A1I0YRZ5	A0A927TGN7
A0A1I0YRZ5	A0A927TLV3
A0A1I0YRZ5	A0A9D5MG56
A0A1I0YRZ5	A0A9D5MSN4
A0A1I0YRZ5	A0A9D5N0R6
A0A1I0YRZ5	A0A9X5BIB7
A0A1I0YRZ5	E0RWS0
A0A1I0YRZ5	R5QJN9
A0A1I0YRZ5	R6ZRN5
A0A1I0YRZ5	A0A1H3VWV5
A0A1I0YRZ5	A0A0U5JE39
A0A1I0YRZ5	A0A173Z2F8
A0A1I0YRZ5	A0A1C5PA90
A0A1I0YRZ5	A0A1C5UA91
A0A1I0YRZ5	A0A1C5WCW5
A0A1I0YRZ5	A0A1C5ZU46
A0A1I0YRZ5	A0A1C7I7E4
A0A1I0YRZ5	A0A1E3A6F6
A0A1I0YRZ5	A0A1E3AMU2
A0A1I0YRZ5	A0A1E3UAQ5
A0A1I0YRZ5	A0A1G4VUB4
A0A1I0YRZ5	A0A1H8ZQS9
A0A1I0YRZ5	A0A1I2QDB9
A0A1I0YRZ5	A0A1I3AAS6
A0A1I0YRZ5	A0A1Y3TMD5
A0A1I0YRZ5	A0A1Y4P2E0
A0A1I0YRZ5	A0A2N5PGV8
A0A1I0YRZ5	A0A2Y9B7L6
A0A1I0YRZ5	A0A315ZTD4
A0A1I0YRZ5	A0A373JCW3
A0A1I0YRZ5	A0A3A6EEW6
A0A1I0YRZ5	A0A3A6FW33
A0A1I0YRZ5	A0A3A6GG58
A0A1I0YRZ5	A0A3A6HBU0
A0A1I0YRZ5	A0A3E3IJZ4
A0A1I0YRZ5	A0A3E4LZU7
A0A1I0YRZ5	A0A416HXL9
A0A1I0YRZ5	A0A416SPG2
A0A1I0YRZ5	A0A417FRX2
A0A1I0YRZ5	A0A495A0F9
A0A1I0YRZ5	A0A4P6M559
A0A1I0YRZ5	A0A4Q8U118
A0A1I0YRZ5	A0A4V2USA6
A0A1I0YRZ5	A0A564U401
A0A1I0YRZ5	A0A5M9HUP5
A0A1I0YRZ5	A0A6N2TZ81
A0A1I0YRZ5	A0A6N3F196
A0A1I0YRZ5	A0A6N7WJA8
A0A1I0YRZ5	A0A7G5N396
A0A1I0YRZ5	A0A828T4R6
A0A1I0YRZ5	A0A829NQA7
A0A1I0YRZ5	A0A844KEC1
A0A1I0YRZ5	A0A8G1TNC2
A0A1I0YRZ5	A0A923RNN1
A0A1I0YRZ5	A0A927UJ29
A0A1I0YRZ5	A0A940AE24
A0A1I0YRZ5	A0A9D1E832
A0A1I0YRZ5	A0A9D1PAQ0
A0A1I0YRZ5	A0A9D2AM10
A0A1I0YRZ5	A0A9D2DAJ9
A0A1I0YRZ5	A0A9D2FRQ4
A0A1I0YRZ5	A0A9D2G607
A0A1I0YRZ5	A0A9D2HAL7
A0A1I0YRZ5	A0A9D2N895
A0A1I0YRZ5	A0A9D2NJ57
A0A1I0YRZ5	A0A9D2PN08
A0A1I0YRZ5	A0A9D2QWF5
A0A1I0YRZ5	A0A9D2R8D6
A0A1I0YRZ5	A0A9D2RG20
A0A1I0YRZ5	A0A9D2SD23
A0A1I0YRZ5	A0A9D2U113
A0A1I0YRZ5	A0A9E0E165
A0A1I0YRZ5	A5KKR8
A0A1I0YRZ5	A7B297
A0A1I0YRZ5	B5CPC4
A0A1I0YRZ5	C9LBA2
A0A1I0YRZ5	F0Z3W8
A0A1I0YRZ5	F3ADC2
A0A1I0YRZ5	F3AXN8
A0A1I0YRZ5	F7JPY9
A0A1I0YRZ5	F7JV07
A0A1I0YRZ5	F7K8I5
A0A1I0YRZ5	R5QXY4
A0A1I0YRZ5	R5U9E3
A0A1I0YRZ5	V8BQS1
A0A1I0YRZ5	A0A174L4Z3
A0A1I0YRZ5	A0A174XNZ0
A0A1I0YRZ5	A0A1G5ARY6
A0A1I0YRZ5	A0A1G5UV07
A0A1I0YRZ5	A0A2V2DH42
A0A1I0YRZ5	A0A351VAC0
A0A1I0YRZ5	A0A3A8ZRS6
A0A1I0YRZ5	A0A3A8ZYX4
A0A1I0YRZ5	A0A3A9EYJ9
A0A1I0YRZ5	A0A3E2WQN7
A0A1I0YRZ5	A0A4R1R3R7
A0A1I0YRZ5	A0A7U9MQ40
A0A1I0YRZ5	A0A7X2M525
A0A1I0YRZ5	A0A7X5IUY3
A0A1I0YRZ5	A0A927TTW8
A0A1I0YRZ5	A0A927YA83
A0A1I0YRZ5	A0A9D1R8C5
A0A1I0YRZ5	N2A7H1
A0A1I0YRZ5	R6CWW4
A0A1I0YRZ5	R9JAH9
A0A1I0YRZ5	R9K527
A0A1I0YRZ5	A0AAV5GX22
A0A1I0YRZ5	F3B1H6
A0A1I0YRZ5	A0A0E2HES0
A0A1I0YRZ5	A0A0F0C7D3
A0A1I0YRZ5	A0A0H5SWD7
A0A1I0YRZ5	A0A0J1G3H9
A0A1I0YRZ5	A0A0J9BWK3
A0A1I0YRZ5	A0A0K8J4H1
A0A1I0YRZ5	A0A0M6WMT9
A0A1I0YRZ5	A0A0M6WWV3
A0A1I0YRZ5	A0A0V8QE94
A0A1I0YRZ5	A0A133ZY67
A0A1I0YRZ5	A0A173SAI9
A0A1I0YRZ5	A0A173SKH2
A0A1I0YRZ5	A0A173XNY7
A0A1I0YRZ5	A0A173YNY3
A0A1I0YRZ5	A0A174GI74
A0A1I0YRZ5	A0A174GPP9
A0A1I0YRZ5	A0A174HKF2
A0A1I0YRZ5	A0A174JJH7
A0A1I0YRZ5	A0A174QAZ3
A0A1I0YRZ5	A0A174RJM4
A0A1I0YRZ5	A0A174Z8B4
A0A1I0YRZ5	A0A1C5KGP8
A0A1I0YRZ5	A0A1C5LJ75
A0A1I0YRZ5	A0A1C5LYI0
A0A1I0YRZ5	A0A1C5NX56
A0A1I0YRZ5	A0A1C5PW84
A0A1I0YRZ5	A0A1C5SAD6
A0A1I0YRZ5	A0A1C5SCN1
A0A1I0YRZ5	A0A1C5WU38
A0A1I0YRZ5	A0A1C5X7T9
A0A1I0YRZ5	A0A1C5XG31
A0A1I0YRZ5	A0A1C6BLX3
A0A1I0YRZ5	A0A1C6DGM8
A0A1I0YRZ5	A0A1C6JG46
A0A1I0YRZ5	A0A1C6JIR3
A0A1I0YRZ5	A0A1C6KDX0
A0A1I0YRZ5	A0A1C6KN86
A0A1I0YRZ5	A0A1H3GVZ3
A0A1I0YRZ5	A0A1H9TT78
A0A1I0YRZ5	A0A1I0CKR6
A0A1I0YRZ5	A0A1I0FPX8
A0A1I0YRZ5	A0A1I5FBB0
A0A1I0YRZ5	A0A1I5UQ07
A0A1I0YRZ5	A0A1M4SKT5
A0A1I0YRZ5	A0A1M7EZT0
A0A1I0YRZ5	A0A1M7YBD9
A0A1I0YRZ5	A0A1Q6TQV1
A0A1I0YRZ5	A0A1Q9JZ08
A0A1I0YRZ5	A0A1S9BS29
A0A1I0YRZ5	A0A1T4VUY3
A0A1I0YRZ5	A0A1Y3T8E7
A0A1I0YRZ5	A0A1Y3YBC8
A0A1I0YRZ5	A0A1Y4FGT3
A0A1I0YRZ5	A0A1Y4RGX3
A0A1I0YRZ5	A0A1Y4RT20
A0A1I0YRZ5	A0A1Y4S934
A0A1I0YRZ5	A0A255IMQ2
A0A1I0YRZ5	A0A2J8B5M4
A0A1I0YRZ5	A0A2K2TTQ0
A0A1I0YRZ5	A0A2M8Z240
A0A1I0YRZ5	A0A2S6HNU1
A0A1I0YRZ5	A0A2T3FE46
A0A1I0YRZ5	A0A2V1JSU7
A0A1I0YRZ5	A0A2V3XYZ9
A0A1I0YRZ5	A0A2Z4UEA0
A0A1I0YRZ5	A0A350BY24
A0A1I0YRZ5	A0A351R3T6
A0A1I0YRZ5	A0A351TN47
A0A1I0YRZ5	A0A371B086
A0A1I0YRZ5	A0A373BU69
A0A1I0YRZ5	A0A373BWL7
A0A1I0YRZ5	A0A373C0E7
A0A1I0YRZ5	A0A373CFY3
A0A1I0YRZ5	A0A373DF09
A0A1I0YRZ5	A0A373GVD3
A0A1I0YRZ5	A0A373L4W2
A0A1I0YRZ5	A0A373N3V2
A0A1I0YRZ5	A0A373NNV4
A0A1I0YRZ5	A0A373P1X0
A0A1I0YRZ5	A0A373S2V3
A0A1I0YRZ5	A0A373UL37
A0A1I0YRZ5	A0A373VR48
A0A1I0YRZ5	A0A374B8Y2
A0A1I0YRZ5	A0A374I4R8
A0A1I0YRZ5	A0A396LQN1
A0A1I0YRZ5	A0A396PBJ7
A0A1I0YRZ5	A0A396QL33
A0A1I0YRZ5	A0A3A6K7A6
A0A1I0YRZ5	A0A3A8V007
A0A1I0YRZ5	A0A3A9C6G7
A0A1I0YRZ5	A0A3A9F9F1
A0A1I0YRZ5	A0A3B9DAV5
A0A1I0YRZ5	A0A3B9I858
A0A1I0YRZ5	A0A3B9K5Z6
A0A1I0YRZ5	A0A3B9Z7D9
A0A1I0YRZ5	A0A3D2TW12
A0A1I0YRZ5	A0A3D2X3E3
A0A1I0YRZ5	A0A3D4XB05
A0A1I0YRZ5	A0A3E2NAI2
A0A1I0YRZ5	A0A3N1XVU0
A0A1I0YRZ5	A0A3P3Q507
A0A1I0YRZ5	A0A3R6J4L3
A0A1I0YRZ5	A0A3R6ML94
A0A1I0YRZ5	A0A3R6PXS2
A0A1I0YRZ5	A0A3R6Q2S1
A0A1I0YRZ5	A0A3R6Q333
A0A1I0YRZ5	A0A3R6TAZ1
A0A1I0YRZ5	A0A3R6VI72
A0A1I0YRZ5	A0A3R6X837
A0A1I0YRZ5	A0A3R6YC47
A0A1I0YRZ5	A0A412RUZ9
